episode_id,ticker,market,company_or_theme,matched_aliases,line_numbers,auto_stance,auto_conviction,auto_time_horizon,evidence_text,action
ep_20260530_666,PLTR,US,Palantir,Piantia,1090,past_review,high,medium,那後來就換成Software這邊 / 就注意到美國軟體股噴到天上去 / 像那時候Piantia是二十幾 / 直接噴到100多 / 那Clawflare 什麼翻倍,added_approved_auto_mention
ep_20260530_666,SNOW,US,Snowflake,Snowflake,767,,,,其實他的公司是在一個非常大的順風上面 / 然後也是靠成績慢慢去證明 / 那最近像是什麼Octa或是Snowflake / 都是開出雞號的成績 / 那就告訴大家說,skipped_existing_mention
ep_20260530_666,TSLA,US,Tesla,Tesla,2100,neutral,low,medium,還大的拖鞋是什麼牌子 / 害猛老哥 / Tesla的好戲 / 還在後頭 / 想聽聽你進行對Intel的看法,skipped_low_confidence
ep_20260603_667,2330,TWSE,台積電,TSMC;台積;台積電,1074;1074;1101;1104;1113,,,,但營餅料核實也可以典實曾經自己的股票呢 / 那感覺GTC後 / 資金又回流營餅料台積電供應鏈 / 夢宮覺得市場是否會補漲營餅料TSNC / 那另外下一波的漲價題材,skipped_existing_mention
ep_20260603_667,MRVL,US,Marvell,瑪瑞爾,542;545;874,,,,說不定就往光的方向去跑 / 那只是你說 / 瑪瑞爾這樣子噴到你的噴什麼 / 老實說 / 這已經超出自己的認知範圍了,skipped_existing_mention
ep_20260603_667,NVDA,US,NVIDIA,NVIDIA;Nvidia,1101;1101;1114;1114,,,,那不排除了這樣子一個可能性 / 所以抓這兩個題材還滿OK的 / 那在講說不會去補長NVIDIA跟TSMC / 我覺得最近的盤 / 有一點點這樣子的味道,skipped_existing_mention
ep_20260603_667,SNOW,US,Snowflake,Snowflake,608;610;619;672;894,neutral,low,short,去製用一些開源式的模型 / 那最終可以幫你省下巨量的成本 / 那最近我在寫一篇Snowflake的文章 / 放在我的粉串上面的那裡 / 又吸引到Snowflake的員工來跟我稍微分享一下,skipped_low_confidence
ep_20260606_668,2330,TWSE,台積電,台積;台積電,367;367;369;369;374;374,bearish,medium,medium,這個可能有點類似說 / 搞不好我們在可能 / 因為我最早看台積電的時候 / 大概它是一兩百塊的東西 / 我在看一兩百塊台積電,added_approved_auto_mention
ep_20260606_668,NVDA,US,NVIDIA,NVIDIA;Nvidia,459;459,neutral,low,medium,我們就是到了南港區 / 然後那有看了這個 / NVIDIA消費團相關的一些內容 / 那這次消費團的展示 / 我是非常喜歡的,skipped_low_confidence
ep_20260606_668,SNOW,US,Snowflake,Snowflake,917,watch,medium,medium,如果說有些東西可以把它 / 結合到地段的模型的話 / 就類似我們前面再聊Snowflake / 可能有些東西下是要外包到也沒有辦法 / 那等到你開始有些Data把它建立進來的時候,added_approved_auto_mention
ep_20260610_669,2330,TWSE,台積電,TSMC;台積;台積電,388;403;403;407;407;410;410;857;857,bullish,medium,medium,當然被動員現在是非常的強勢 / 那光碰的話就是全部都轉落 / 那TSMC有本來覺得有機會是下一波20跑的 / 然後現在也是轉落 / 那發歌也稍微都往下跳,added_approved_auto_mention
ep_20260610_669,NVDA,US,NVIDIA,NVIDIA;Nvidia,468;468,neutral,low,medium,在搭配他發了東西 / 那即便呢 / 他其實去講說像NVIDIA的什麼記憶體手用什麼 / 那個並不是像標題下的這樣子 / 就是你深度去瞭解會知道,skipped_low_confidence
ep_20260613_670,2330,TWSE,台積電,2330;台積;台積電,850;850;1463;1463;1466;1466;1468;1468;1470;1470;1475;1475;1483;1483,neutral,low,short,類似說連發科 / 就是要目標價2454 / 台積件就2330 / 那當然國際的目標價2327 / 我們看後面會不會,skipped_low_confidence
ep_20260613_670,2454,TWSE,聯發科,2454,849,neutral,low,medium,數字當成是關鍵字的 / 類似說連發科 / 就是要目標價2454 / 台積件就2330 / 那當然國際的目標價2327,skipped_low_confidence
ep_20260617_671,2330,TWSE,台積電,台積;台積電,7;7;117;117;557;557;565;565;572;572;576;576;586;586;606;606;609;609;617;617;910;910;913;913;1071,neutral,low,medium,就是你講的就會直接影響到市場了 / 那你媽的 / 你有種就說我去影響台積電 / 或是紅海或是廣大 / 或是那些美國的東西,skipped_low_confidence
ep_20260620_672,2330,TWSE,台積電,台積;台積電,1011;1011;1012;1012,neutral,low,medium,就有點類似 / 那個Gavin Baker所提到 / 就是說台積電箱是一個限制器一樣 / 就如果台積電是風狂的大擴產的話 / 那可能這一波AI就會走得更猛,skipped_low_confidence
