episode_id,chunk_index,chunk_path,transcript_path,model,transcription_status,notes
ep_20260513_661,0,data/raw/audio_chunks/ep_20260513_661_000.mp3,data/raw/transcripts/ep_20260513_661_000.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260513_661,1,data/raw/audio_chunks/ep_20260513_661_001.mp3,data/raw/transcripts/ep_20260513_661_001.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260513_661,2,data/raw/audio_chunks/ep_20260513_661_002.mp3,data/raw/transcripts/ep_20260513_661_002.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260513_661,3,data/raw/audio_chunks/ep_20260513_661_003.mp3,data/raw/transcripts/ep_20260513_661_003.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260516_662,0,data/raw/audio_chunks/ep_20260516_662_000.mp3,data/raw/transcripts/ep_20260516_662_000.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260516_662,1,data/raw/audio_chunks/ep_20260516_662_001.mp3,data/raw/transcripts/ep_20260516_662_001.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260516_662,2,data/raw/audio_chunks/ep_20260516_662_002.mp3,data/raw/transcripts/ep_20260516_662_002.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260516_662,3,data/raw/audio_chunks/ep_20260516_662_003.mp3,data/raw/transcripts/ep_20260516_662_003.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260520_663,0,data/raw/audio_chunks/ep_20260520_663_000.mp3,data/raw/transcripts/ep_20260520_663_000.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260520_663,1,data/raw/audio_chunks/ep_20260520_663_001.mp3,data/raw/transcripts/ep_20260520_663_001.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260520_663,2,data/raw/audio_chunks/ep_20260520_663_002.mp3,data/raw/transcripts/ep_20260520_663_002.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260520_663,3,data/raw/audio_chunks/ep_20260520_663_003.mp3,data/raw/transcripts/ep_20260520_663_003.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260523_664,0,data/raw/audio_chunks/ep_20260523_664_000.mp3,data/raw/transcripts/ep_20260523_664_000.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260523_664,1,data/raw/audio_chunks/ep_20260523_664_001.mp3,data/raw/transcripts/ep_20260523_664_001.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260523_664,2,data/raw/audio_chunks/ep_20260523_664_002.mp3,data/raw/transcripts/ep_20260523_664_002.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260523_664,3,data/raw/audio_chunks/ep_20260523_664_003.mp3,data/raw/transcripts/ep_20260523_664_003.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260527_665,0,data/raw/audio_chunks/ep_20260527_665_000.mp3,data/raw/transcripts/ep_20260527_665_000.txt,whisper.cpp:ggml-base.bin,generated,existing local whisper.cpp transcript file reused
ep_20260527_665,1,data/raw/audio_chunks/ep_20260527_665_001.mp3,data/raw/transcripts/ep_20260527_665_001.txt,whisper.cpp:ggml-base.bin,generated,existing local whisper.cpp transcript file reused
ep_20260527_665,2,data/raw/audio_chunks/ep_20260527_665_002.mp3,data/raw/transcripts/ep_20260527_665_002.txt,whisper.cpp:ggml-base.bin,generated,existing local whisper.cpp transcript file reused
ep_20260527_665,3,data/raw/audio_chunks/ep_20260527_665_003.mp3,data/raw/transcripts/ep_20260527_665_003.txt,whisper.cpp:ggml-base.bin,generated,existing local whisper.cpp transcript file reused
ep_20260530_666,0,data/raw/audio_chunks/ep_20260530_666_000.mp3,data/raw/transcripts/ep_20260530_666_000.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260530_666,1,data/raw/audio_chunks/ep_20260530_666_001.mp3,data/raw/transcripts/ep_20260530_666_001.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260530_666,2,data/raw/audio_chunks/ep_20260530_666_002.mp3,data/raw/transcripts/ep_20260530_666_002.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260530_666,3,data/raw/audio_chunks/ep_20260530_666_003.mp3,data/raw/transcripts/ep_20260530_666_003.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260603_667,0,data/raw/audio_chunks/ep_20260603_667_000.mp3,data/raw/transcripts/ep_20260603_667_000.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260603_667,1,data/raw/audio_chunks/ep_20260603_667_001.mp3,data/raw/transcripts/ep_20260603_667_001.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260603_667,2,data/raw/audio_chunks/ep_20260603_667_002.mp3,data/raw/transcripts/ep_20260603_667_002.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260603_667,3,data/raw/audio_chunks/ep_20260603_667_003.mp3,data/raw/transcripts/ep_20260603_667_003.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260606_668,0,data/raw/audio_chunks/ep_20260606_668_000.mp3,data/raw/transcripts/ep_20260606_668_000.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260606_668,1,data/raw/audio_chunks/ep_20260606_668_001.mp3,data/raw/transcripts/ep_20260606_668_001.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260606_668,2,data/raw/audio_chunks/ep_20260606_668_002.mp3,data/raw/transcripts/ep_20260606_668_002.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260606_668,3,data/raw/audio_chunks/ep_20260606_668_003.mp3,data/raw/transcripts/ep_20260606_668_003.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260610_669,0,data/raw/audio_chunks/ep_20260610_669_000.mp3,data/raw/transcripts/ep_20260610_669_000.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260610_669,1,data/raw/audio_chunks/ep_20260610_669_001.mp3,data/raw/transcripts/ep_20260610_669_001.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260610_669,2,data/raw/audio_chunks/ep_20260610_669_002.mp3,data/raw/transcripts/ep_20260610_669_002.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260610_669,3,data/raw/audio_chunks/ep_20260610_669_003.mp3,data/raw/transcripts/ep_20260610_669_003.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260613_670,0,data/raw/audio_chunks/ep_20260613_670_000.mp3,data/raw/transcripts/ep_20260613_670_000.txt,whisper.cpp:ggml-base.bin,generated,existing local whisper.cpp transcript file reused
ep_20260613_670,1,data/raw/audio_chunks/ep_20260613_670_001.mp3,data/raw/transcripts/ep_20260613_670_001.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260613_670,2,data/raw/audio_chunks/ep_20260613_670_002.mp3,data/raw/transcripts/ep_20260613_670_002.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260613_670,3,data/raw/audio_chunks/ep_20260613_670_003.mp3,data/raw/transcripts/ep_20260613_670_003.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260617_671,0,data/raw/audio_chunks/ep_20260617_671_000.mp3,data/raw/transcripts/ep_20260617_671_000.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260617_671,1,data/raw/audio_chunks/ep_20260617_671_001.mp3,data/raw/transcripts/ep_20260617_671_001.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260617_671,2,data/raw/audio_chunks/ep_20260617_671_002.mp3,data/raw/transcripts/ep_20260617_671_002.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260617_671,3,data/raw/audio_chunks/ep_20260617_671_003.mp3,data/raw/transcripts/ep_20260617_671_003.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260620_672,0,data/raw/audio_chunks/ep_20260620_672_000.mp3,data/raw/transcripts/ep_20260620_672_000.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260620_672,1,data/raw/audio_chunks/ep_20260620_672_001.mp3,data/raw/transcripts/ep_20260620_672_001.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260620_672,2,data/raw/audio_chunks/ep_20260620_672_002.mp3,data/raw/transcripts/ep_20260620_672_002.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
ep_20260620_672,3,data/raw/audio_chunks/ep_20260620_672_003.mp3,data/raw/transcripts/ep_20260620_672_003.txt,whisper.cpp:ggml-base.bin,generated,local whisper.cpp transcript file is gitignored
